,city,cloud (%),country,date,humidity (%),lat,lng,max temp (F),wind (mph)
136,Troitskoye,98,RU,1652046813,51,52.9821,84.6757,4.13,1.46
137,Frontera,9,MX,1652046813,9,26.9333,-101.45,41.21,2.87
138,Sungai Raya,100,ID,1652046814,88,0.7,108.9,25.54,2.68
139,Vila Franca do Campo,81,PT,1652046814,84,37.7167,-25.4333,17.89,1.12
140,Bengkulu,90,ID,1652046547,82,-3.8004,102.2655,25.0,1.67
141,Bilibino,100,RU,1652046815,81,68.0546,166.4372,-4.56,2.24
142,Atambua,27,ID,1652046815,84,-9.1061,124.8925,22.64,3.78
143,Doka,82,SD,1652046816,39,13.5167,35.7667,31.47,4.27
144,Saint Anthony,100,US,1652046816,64,45.0205,-93.218,15.17,5.04
145,Sitka,30,US,1652046817,61,57.0531,-135.33,11.66,3.14
146,Talnakh,83,RU,1652046817,96,69.4865,88.3972,-11.55,4.27
147,Kapaa,61,US,1652046817,80,22.0752,-159.319,26.99,2.24
148,Puerto Madryn,51,AR,1652046818,35,-42.7692,-65.0385,16.43,4.18
149,Semey,3,KZ,1652046818,34,50.4111,80.2275,6.38,2.1
150,Uvinza,99,TZ,1652046819,88,-5.1036,30.3911,19.76,1.08
151,Bărcăneşti,100,RO,1652046819,67,44.8833,26.05,10.05,1.71
152,Thompson,40,CA,1652046590,44,55.7435,-97.8558,15.09,8.23
153,Punta Arenas,40,CL,1652046754,65,-53.15,-70.9167,7.06,16.46
154,Charagua,49,BO,1652046820,51,-19.8,-63.2167,23.76,4.6
155,Egvekinot,100,RU,1652046820,92,66.3167,-179.1667,-2.15,0.95
156,Sorsk,10,RU,1652046820,52,54.0033,90.2467,-2.99,1.79
157,Soyo,22,AO,1652046821,91,-6.1349,12.3689,25.54,2.3
158,Hambantota,20,LK,1652046821,94,6.1241,81.1185,28.19,3.09
159,Cairns,75,AU,1652046822,97,-16.9167,145.7667,25.04,5.14
160,Vao,97,NC,1652046822,69,-22.6667,167.4833,23.02,5.33
161,Nāwa,0,IN,1652046822,16,27.0167,75.0,28.98,1.74
162,Saint-Philippe,33,RE,1652046823,85,-21.3585,55.7679,21.77,3.57
163,Alappuzha,100,IN,1652046823,80,9.49,76.3264,28.56,4.61
164,Constitución,100,CL,1652046824,92,-35.3333,-72.4167,12.39,2.88
165,Palmer,75,US,1652046824,29,42.1584,-72.3287,14.75,4.63
166,Hualmay,71,PE,1652046824,82,-11.0964,-77.6139,19.83,4.54
167,Cherskiy,100,RU,1652046825,89,68.75,161.3,-3.83,5.79
